task_id,people,timestamp,ground_id,location
22595,1,2022-10-25 18:30:00,25047,YYC
23221,1,2022-10-25 18:42:00,25047,YYC
18884,9,2022-10-26 10:05:00,25051,YUL
19036,17,2022-10-26 15:45:00,25053,YUL
22499,4,2022-10-26 16:00:00,25053,YUL
22884,1,2022-10-26 15:45:00,25053,YUL
2548,4,2022-10-26 17:21:00,25053,YUL
2590,14,2022-10-26 17:27:42.352941,25053,YUL
1591,5,2022-10-26 17:28:30,25053,YUL
1484,3,2022-10-26 17:27:42.352941,25053,YUL
18868,12,2022-10-26 13:50:00,25055,YVR
13994,1,2022-10-26 13:50:00,25055,YVR
10586,12,2022-10-26 15:05:00,25055,YVR
22200,5,2022-10-26 06:35:00,25056,YYZ
22978,2,2022-10-26 14:20:00,25059,YYC
15124,1,2022-10-26 16:00:00,25059,YYC
23112,7,2022-10-26 11:00:00,25060,YYZ
87,3,2022-07-30 06:30:00,25067,YVR
3,9,2022-07-30 12:05:00,25070,YVR
14,3,2022-07-30 12:05:00,25070,YVR
376,1,2022-07-30 12:05:00,25070,YVR
1332,1,2022-07-30 16:00:00,25070,YVR
64,4,2022-07-30 11:50:00,25073,YUL
473,1,2022-07-30 11:50:00,25073,YUL
844,1,2022-07-30 12:45:00,25073,YUL
1119,1,2022-07-30 12:45:00,25073,YUL
487,2,2022-07-30 08:50:00,25076,YUL
0,17,2022-07-30 11:00:00,25078,YYZ
1022,1,2022-07-30 11:30:00,25078,YYZ
340,1,2022-07-30 11:30:00,25078,YYZ
648,1,2022-07-30 12:25:00,25078,YYZ
709,1,2022-07-30 12:40:00,25078,YYZ
1125,1,2022-07-30 14:25:00,25078,YYZ
1321,1,2022-07-30 11:30:00,25078,YYZ
1353,1,2022-07-30 14:39:00,25078,YYZ
1374,1,2022-07-30 14:40:00,25078,YYZ
1414,1,2022-07-30 14:49:00,25078,YYZ
805,1,2022-07-30 15:05:00,25081,YVR
868,1,2022-07-30 11:25:00,25082,YYZ
884,1,2022-07-30 11:25:00,25082,YYZ
12,14,2022-07-30 16:31:40,25083,YVR
1304,3,2022-07-30 17:35:57.142857,25083,YVR
1358,3,2022-07-30 17:35:57.142857,25083,YVR
1371,3,2022-07-30 17:35:57.142857,25083,YVR
1413,9,2022-07-30 17:38:57.142857,25083,YVR
870,2,2022-07-30 11:00:00,25085,YYZ
47,6,2022-07-30 08:15:00,25088,YUL
55,6,2022-07-30 11:25:00,25089,YUL
158,5,2022-07-30 11:45:00,25089,YUL
1294,3,2022-07-30 07:45:00,25097,YVR
504,5,2022-07-30 07:00:00,25098,YYZ
79,2,2022-07-30 06:50:00,25099,YVR
27,2,2022-07-30 06:50:00,25099,YVR
96,3,2022-07-30 09:55:00,25099,YVR
127,3,2022-07-30 09:55:00,25099,YVR
1136,1,2022-07-30 09:40:00,25099,YVR
1300,1,2022-07-30 10:50:00,25099,YVR
304,4,2022-07-30 11:00:00,25099,YVR
563,1,2022-07-30 10:50:00,25099,YVR
857,6,2022-07-30 11:55:00,25099,YVR
1289,2,2022-07-30 11:50:00,25099,YVR
1347,2,2022-07-30 12:00:00,25099,YVR
1373,2,2022-07-30 12:00:00,25099,YVR
887,2,2022-07-30 11:00:00,25105,YYZ
93,4,2022-07-30 19:20:00,25109,YYZ
167,4,2022-07-30 06:30:00,25110,YVR
34,2,2022-07-30 11:00:00,25111,YYZ
319,1,2022-07-30 11:00:00,25111,YYZ
117,1,2022-07-30 11:00:00,25111,YYZ
170,1,2022-07-30 11:00:00,25111,YYZ
189,1,2022-07-30 11:00:00,25111,YYZ
807,1,2022-07-30 11:00:00,25111,YYZ
589,1,2022-07-30 11:30:00,25111,YYZ
609,1,2022-07-30 12:00:00,25111,YYZ
